run_id,phase,train_variant,eta0,lambda,epoch,validation_relative_regret,validation_edge_f1,validation_exact_match,is_new_prefix_best,prefix_best_epoch,prefix_best_relative_regret,stale_evaluations,early_stop_here,current_q_min,current_q_max,q_boundary_pct,event_has_nonfinite,current_q_at_max,current_q_at_min,epoch_ms,event_nonfinite_fields,logged_best_marker,prefix_best_edge_f1,prefix_best_exact_match,projected_edges,q_boundary_count,selection_loss,update_status,validation_edge_jaccard
conv_full_eta1e4,convergence_full,all,0.0001,100000,99,0.06357497,0.677356,0.367921,True,99,0.06357497,0,False,0.1,1.589377,0.002771772271190199,False,0,2,3588.488,,True,0.677356,0.367921,,2,0.063574971554,final_skipped,0.602899
conv_full_eta3e4,convergence_full,all,0.0003,100000,0,0.09352278,0.591144,0.337542,True,0,0.09352278,0,False,1.0,1.0,0.0,False,0,0,3631.174,,True,0.591144,0.337542,69,0,0.093522778359,applied,0.521204
conv_full_eta3e4,convergence_full,all,0.0003,100000,4,0.12772386,0.599128,0.268125,False,0,0.09352278,1,False,0.1,3.841362,0.008315316813570598,False,0,6,3632.583,,False,0.591144,0.337542,10,6,0.127723864336,applied,0.513888
conv_full_eta3e4,convergence_full,all,0.0003,100000,9,0.08910051,0.636992,0.313664,True,9,0.08910051,0,False,0.139189,2.665838,0.0,False,0,0,3608.503,,True,0.636992,0.313664,1,0,0.089100514858,applied,0.555787
conv_full_eta3e4,convergence_full,all,0.0003,100000,14,0.07992749,0.647685,0.325421,True,14,0.07992749,0,False,0.1,1.966719,0.002771772271190199,False,0,2,3660.781,,True,0.647685,0.325421,2,2,0.079927492523,applied,0.567297
conv_full_eta3e4,convergence_full,all,0.0003,100000,19,0.07961152,0.650105,0.331752,True,19,0.07961152,0,False,0.1,1.93887,0.004157658406785299,False,0,3,3690.671,,True,0.650105,0.331752,2,3,0.079611516481,applied,0.570637
conv_full_eta3e4,convergence_full,all,0.0003,100000,24,0.07470697,0.658503,0.339642,True,24,0.07470697,0,False,0.1,1.915027,0.002771772271190199,False,0,2,3634.06,,True,0.658503,0.339642,1,2,0.074706973921,applied,0.580191
conv_full_eta3e4,convergence_full,all,0.0003,100000,29,0.07123149,0.659518,0.344718,True,29,0.07123149,0,False,0.1,1.89564,0.0013858861355950994,False,0,1,3601.681,,True,0.659518,0.344718,3,1,0.071231488375,applied,0.581668
conv_full_eta3e4,convergence_full,all,0.0003,100000,34,0.07119053,0.663485,0.344594,True,34,0.07119053,0,False,0.1,1.882606,0.004157658406785299,False,0,3,3586.352,,True,0.663485,0.344594,2,3,0.071190530751,applied,0.585658
conv_full_eta3e4,convergence_full,all,0.0003,100000,39,0.06927741,0.665728,0.35346,True,39,0.06927741,0,False,0.1,1.862007,0.002771772271190199,False,0,2,3680.943,,True,0.665728,0.35346,3,2,0.069277410439,applied,0.588939
conv_full_eta3e4,convergence_full,all,0.0003,100000,44,0.06906319,0.666442,0.35146,True,44,0.06906319,0,False,0.1,1.85585,0.005543544542380398,False,0,4,3734.496,,True,0.666442,0.35146,2,4,0.069063194436,applied,0.589738
conv_full_eta3e4,convergence_full,all,0.0003,100000,49,0.06765661,0.668256,0.357939,True,49,0.06765661,0,False,0.1,1.873266,0.005543544542380398,False,0,4,3673.433,,True,0.668256,0.357939,4,4,0.067656610094,applied,0.591878
conv_full_eta3e4,convergence_full,all,0.0003,100000,54,0.06733059,0.668014,0.355568,True,54,0.06733059,0,False,0.1,1.908368,0.005543544542380398,False,0,4,3831.251,,True,0.668014,0.355568,4,4,0.067330592606,applied,0.591529
conv_full_eta3e4,convergence_full,all,0.0003,100000,59,0.06695986,0.676423,0.366054,True,59,0.06695986,0,False,0.1,1.947731,0.004157658406785299,False,0,3,3685.834,,True,0.676423,0.366054,6,3,0.066959859321,applied,0.601325
conv_full_eta3e4,convergence_full,all,0.0003,100000,64,0.06536429,0.672338,0.357381,True,64,0.06536429,0,False,0.1,1.972792,0.009701202949165696,False,0,7,3666.688,,True,0.672338,0.357381,5,7,0.065364289349,applied,0.595824
conv_full_eta3e4,convergence_full,all,0.0003,100000,69,0.06491862,0.675291,0.363426,True,69,0.06491862,0,False,0.1,1.993805,0.006929430677975497,False,0,5,3601.906,,True,0.675291,0.363426,6,5,0.064918623818,applied,0.599779
conv_full_eta3e4,convergence_full,all,0.0003,100000,74,0.06600887,0.672065,0.358156,False,69,0.06491862,1,False,0.1,1.99422,0.009701202949165696,False,0,7,3701.343,,False,0.675291,0.363426,4,7,0.066008871623,applied,0.595872
conv_full_eta3e4,convergence_full,all,0.0003,100000,79,0.06384599,0.679951,0.370998,True,79,0.06384599,0,False,0.1,1.998643,0.008315316813570598,False,0,6,3609.428,,True,0.679951,0.370998,6,6,0.063845992229,applied,0.605377
conv_full_eta3e4,convergence_full,all,0.0003,100000,84,0.06415017,0.678241,0.367565,False,79,0.06384599,1,False,0.1,2.006448,0.011087089084760795,False,0,8,3696.721,,False,0.679951,0.370998,5,8,0.064150174539,applied,0.603143
conv_full_eta3e4,convergence_full,all,0.0003,100000,89,0.06421598,0.67759,0.366495,False,79,0.06384599,2,False,0.1,2.012085,0.009701202949165696,False,0,7,3628.844,,False,0.679951,0.370998,5,7,0.064215983136,applied,0.602621
conv_full_eta3e4,convergence_full,all,0.0003,100000,94,0.0645782,0.674809,0.36641,False,79,0.06384599,3,False,0.1,2.015619,0.009701202949165696,False,0,7,3680.78,,False,0.679951,0.370998,6,7,0.064578200315,applied,0.599483
conv_full_eta3e4,convergence_full,all,0.0003,100000,99,0.06348409,0.681488,0.371068,True,99,0.06348409,0,False,0.1,2.019888,0.009701202949165696,False,0,7,3622.639,,True,0.681488,0.371068,,7,0.063484090822,final_skipped,0.606961
erase_10pct_eta1e4,loop_erasure_10pct,scale_10pct_seed42,0.0001,100000,0,0.09352278,0.591144,0.337542,True,0,0.09352278,0,False,1.0,1.0,0.0,False,0,0,1616.17,,True,0.591144,0.337542,2,0,0.093522778359,applied,0.521204
erase_10pct_eta1e4,loop_erasure_10pct,scale_10pct_seed42,0.0001,100000,4,0.07828546,0.631242,0.314113,True,4,0.07828546,0,False,0.271468,1.575198,0.0,False,0,0,1660.272,,True,0.631242,0.314113,0,0,0.07828546076,applied,0.550303
erase_10pct_eta1e4,loop_erasure_10pct,scale_10pct_seed42,0.0001,100000,9,0.07207898,0.647659,0.335511,True,9,0.07207898,0,False,0.236127,1.394332,0.0,False,0,0,1645.947,,True,0.647659,0.335511,0,0,0.072078984643,applied,0.569211
erase_10pct_eta1e4,loop_erasure_10pct,scale_10pct_seed42,0.0001,100000,14,0.07006996,0.653136,0.339006,True,14,0.07006996,0,False,0.204344,1.400457,0.0,False,0,0,1731.778,,True,0.653136,0.339006,0,0,0.070069963813,applied,0.575087
